"Metric","Value","Page"
"Display title","Melis Sekmen","Melis_Sekmen"
"Default sort key","Sekmen, Melis","Melis_Sekmen"
"Page length (in bytes)","4,667","Melis_Sekmen"
"Namespace ID","0","Melis_Sekmen"
"Page ID","69858486","Melis_Sekmen"
"Page content language","en - English","Melis_Sekmen"
"Page content model","wikitext","Melis_Sekmen"
"Indexing by robots","Allowed","Melis_Sekmen"
"Number of page watchers","Fewer than 30 watchers","Melis_Sekmen"
"Number of redirects to this page","1","Melis_Sekmen"
"Counted as a content page","Yes","Melis_Sekmen"
"Wikidata item ID","Q108705691","Melis_Sekmen"
"Local description","German politician (born 1993)","Melis_Sekmen"
"Central description","German politician","Melis_Sekmen"
"Page image","","Melis_Sekmen"
"Page views in the past 30 days","213","Melis_Sekmen"
"Display title","Hakan Demir","Hakan_Demir"
"Default sort key","Demir, Hakan","Hakan_Demir"
"Page length (in bytes)","297","Hakan_Demir"
"Namespace ID","0","Hakan_Demir"
"Page ID","69021766","Hakan_Demir"
"Page content language","en - English","Hakan_Demir"
"Page content model","wikitext","Hakan_Demir"
"Indexing by robots","Allowed","Hakan_Demir"
"Number of page watchers","Fewer than 30 watchers","Hakan_Demir"
"Number of redirects to this page","1","Hakan_Demir"
"Counted as a content page","Yes","Hakan_Demir"
"Wikidata item ID","Q5993176","Hakan_Demir"
"Local description","Topics referred to by the same term","Hakan_Demir"
"Central description","Wikimedia disambiguation page","Hakan_Demir"
"Page views in the past 30 days","26","Hakan_Demir"
"Display title","Markus Reichel","Markus_Reichel"
"Default sort key","Reichel, Markus","Markus_Reichel"
"Page length (in bytes)","3,133","Markus_Reichel"
"Namespace ID","0","Markus_Reichel"
"Page ID","70806691","Markus_Reichel"
"Page content language","en - English","Markus_Reichel"
"Page content model","wikitext","Markus_Reichel"
"Indexing by robots","Allowed","Markus_Reichel"
"Number of page watchers","Fewer than 30 watchers","Markus_Reichel"
"Number of redirects to this page","0","Markus_Reichel"
"Counted as a content page","Yes","Markus_Reichel"
"Wikidata item ID","Q108709302","Markus_Reichel"
"Local description","German politician","Markus_Reichel"
"Central description","German politician","Markus_Reichel"
"Page image","","Markus_Reichel"
"Page views in the past 30 days","49","Markus_Reichel"
"Display title","Andreas Larem","Andreas_Larem"
"Default sort key","Larem, Andreas","Andreas_Larem"
"Page length (in bytes)","2,174","Andreas_Larem"
"Namespace ID","0","Andreas_Larem"
"Page ID","70983295","Andreas_Larem"
"Page content language","en - English","Andreas_Larem"
"Page content model","wikitext","Andreas_Larem"
"Indexing by robots","Allowed","Andreas_Larem"
"Number of page watchers","Fewer than 30 watchers","Andreas_Larem"
"Number of redirects to this page","0","Andreas_Larem"
"Counted as a content page","Yes","Andreas_Larem"
"Wikidata item ID","Q106044682","Andreas_Larem"
"Local description","German politician","Andreas_Larem"
"Central description","German politician","Andreas_Larem"
"Page image","","Andreas_Larem"
"Page views in the past 30 days","34","Andreas_Larem"
"Display title","Diana Stöcker","Diana_Stöcker"
"Default sort key","Stocker, Diana","Diana_Stöcker"
"Page length (in bytes)","1,326","Diana_Stöcker"
"Namespace ID","0","Diana_Stöcker"
"Page ID","69877878","Diana_Stöcker"
"Page content language","en - English","Diana_Stöcker"
"Page content model","wikitext","Diana_Stöcker"
"Indexing by robots","Allowed","Diana_Stöcker"
"Number of page watchers","Fewer than 30 watchers","Diana_Stöcker"
"Number of redirects to this page","0","Diana_Stöcker"
"Counted as a content page","Yes","Diana_Stöcker"
"Wikidata item ID","Q108705694","Diana_Stöcker"
"Local description","German politician from the CDU","Diana_Stöcker"
"Central description","German politician (CDU)","Diana_Stöcker"
"Page views in the past 30 days","43","Diana_Stöcker"
"Display title","Marcel Emmerich","Marcel_Emmerich"
"Default sort key","Emmerich, Marcel","Marcel_Emmerich"
"Page length (in bytes)","3,991","Marcel_Emmerich"
"Namespace ID","0","Marcel_Emmerich"
"Page ID","69020265","Marcel_Emmerich"
"Page content language","en - English","Marcel_Emmerich"
"Page content model","wikitext","Marcel_Emmerich"
"Indexing by robots","Allowed","Marcel_Emmerich"
"Number of page watchers","Fewer than 30 watchers","Marcel_Emmerich"
"Number of redirects to this page","1","Marcel_Emmerich"
"Counted as a content page","Yes","Marcel_Emmerich"
"Wikidata item ID","Q106807099","Marcel_Emmerich"
"Local description","German politician (born 1991)","Marcel_Emmerich"
"Central description","German politician, MP","Marcel_Emmerich"
"Page image","","Marcel_Emmerich"
"Page views in the past 30 days","70","Marcel_Emmerich"
"Display title","Hanna Steinmüller","Hanna_Steinmüller"
"Default sort key","Steinmueller, Hanna","Hanna_Steinmüller"
"Page length (in bytes)","3,133","Hanna_Steinmüller"
"Namespace ID","0","Hanna_Steinmüller"
"Page ID","69860894","Hanna_Steinmüller"
"Page content language","en - English","Hanna_Steinmüller"
"Page content model","wikitext","Hanna_Steinmüller"
"Indexing by robots","Allowed","Hanna_Steinmüller"
"Number of page watchers","Fewer than 30 watchers","Hanna_Steinmüller"
"Number of redirects to this page","1","Hanna_Steinmüller"
"Counted as a content page","Yes","Hanna_Steinmüller"
"Wikidata item ID","Q108705697","Hanna_Steinmüller"
"Local description","German politician (born 1993)","Hanna_Steinmüller"
"Central description","German politician","Hanna_Steinmüller"
"Page views in the past 30 days","68","Hanna_Steinmüller"
"Display title","Franziska Hoppermann","Franziska_Hoppermann"
"Default sort key","Hoppermann, Franziska","Franziska_Hoppermann"
"Page length (in bytes)","4,484","Franziska_Hoppermann"
"Namespace ID","0","Franziska_Hoppermann"
"Page ID","68889984","Franziska_Hoppermann"
"Page content language","en - English","Franziska_Hoppermann"
"Page content model","wikitext","Franziska_Hoppermann"
"Indexing by robots","Allowed","Franziska_Hoppermann"
"Number of page watchers","Fewer than 30 watchers","Franziska_Hoppermann"
"Number of redirects to this page","0","Franziska_Hoppermann"
"Counted as a content page","Yes","Franziska_Hoppermann"
"Wikidata item ID","Q108713725","Franziska_Hoppermann"
"Local description","German politician and Bundestag (parliament) member","Franziska_Hoppermann"
"Central description","German politician and Bundestag (parliament) member","Franziska_Hoppermann"
"Page image","","Franziska_Hoppermann"
"Page views in the past 30 days","53","Franziska_Hoppermann"
"Display title","Ottilie Klein","Ottilie_Klein"
"Default sort key","Klein, Ottilie","Ottilie_Klein"
"Page length (in bytes)","5,197","Ottilie_Klein"
"Namespace ID","0","Ottilie_Klein"
"Page ID","70983568","Ottilie_Klein"
"Page content language","en - English","Ottilie_Klein"
"Page content model","wikitext","Ottilie_Klein"
"Indexing by robots","Allowed","Ottilie_Klein"
"Number of page watchers","Fewer than 30 watchers","Ottilie_Klein"
"Number of redirects to this page","0","Ottilie_Klein"
"Counted as a content page","Yes","Ottilie_Klein"
"Wikidata item ID","Q108711880","Ottilie_Klein"
"Local description","German politician","Ottilie_Klein"
"Central description","German politician","Ottilie_Klein"
"Page image","","Ottilie_Klein"
"Page views in the past 30 days","112","Ottilie_Klein"
"Display title","Katharina Beck","Katharina_Beck"
"Default sort key","Beck, Katharina","Katharina_Beck"
"Page length (in bytes)","7,517","Katharina_Beck"
"Namespace ID","0","Katharina_Beck"
"Page ID","69204924","Katharina_Beck"
"Page content language","en - English","Katharina_Beck"
"Page content model","wikitext","Katharina_Beck"
"Indexing by robots","Allowed","Katharina_Beck"
"Number of page watchers","Fewer than 30 watchers","Katharina_Beck"
"Number of redirects to this page","0","Katharina_Beck"
"Counted as a content page","Yes","Katharina_Beck"
"Wikidata item ID","Q108705838","Katharina_Beck"
"Local description","German politician (Green Party)","Katharina_Beck"
"Central description","German politician","Katharina_Beck"
"Page image","","Katharina_Beck"
"Page views in the past 30 days","75","Katharina_Beck"
"Display title","Esra Limbacher","Esra_Limbacher"
"Default sort key","Limbacher, Esra","Esra_Limbacher"
"Page length (in bytes)","10,122","Esra_Limbacher"
"Namespace ID","0","Esra_Limbacher"
"Page ID","70983073","Esra_Limbacher"
"Page content language","en - English","Esra_Limbacher"
"Page content model","wikitext","Esra_Limbacher"
"Indexing by robots","Allowed","Esra_Limbacher"
"Number of page watchers","Fewer than 30 watchers","Esra_Limbacher"
"Number of redirects to this page","0","Esra_Limbacher"
"Counted as a content page","Yes","Esra_Limbacher"
"Wikidata item ID","Q107285317","Esra_Limbacher"
"Local description","German politician","Esra_Limbacher"
"Central description","German politician","Esra_Limbacher"
"Page image","","Esra_Limbacher"
"Page views in the past 30 days","49","Esra_Limbacher"
"Display title","Christina-Johanne Schröder","Christina-Johanne_Schröder"
"Default sort key","Schroeder, Christina-Johanne","Christina-Johanne_Schröder"
"Page length (in bytes)","5,294","Christina-Johanne_Schröder"
"Namespace ID","0","Christina-Johanne_Schröder"
"Page ID","68054230","Christina-Johanne_Schröder"
"Page content language","en - English","Christina-Johanne_Schröder"
"Page content model","wikitext","Christina-Johanne_Schröder"
"Indexing by robots","Allowed","Christina-Johanne_Schröder"
"Number of page watchers","Fewer than 30 watchers","Christina-Johanne_Schröder"
"Number of redirects to this page","3","Christina-Johanne_Schröder"
"Counted as a content page","Yes","Christina-Johanne_Schröder"
"Wikidata item ID","Q107305013","Christina-Johanne_Schröder"
"Local description","German politician (Greens) and Member of the Bundestag","Christina-Johanne_Schröder"
"Central description","German politician (Greens) and social scientist","Christina-Johanne_Schröder"
"Page image","","Christina-Johanne_Schröder"
"Page views in the past 30 days","43","Christina-Johanne_Schröder"
"Display title","Swantje Michaelsen","Swantje_Michaelsen"
"Default sort key","Michaelsen, Swantje","Swantje_Michaelsen"
"Page length (in bytes)","3,258","Swantje_Michaelsen"
"Namespace ID","0","Swantje_Michaelsen"
"Page ID","69939806","Swantje_Michaelsen"
"Page content language","en - English","Swantje_Michaelsen"
"Page content model","wikitext","Swantje_Michaelsen"
"Indexing by robots","Allowed","Swantje_Michaelsen"
"Number of page watchers","Fewer than 30 watchers","Swantje_Michaelsen"
"Number of redirects to this page","1","Swantje_Michaelsen"
"Counted as a content page","Yes","Swantje_Michaelsen"
"Wikidata item ID","Q107303327","Swantje_Michaelsen"
"Local description","German politician (born 1979)","Swantje_Michaelsen"
"Central description","German politician (Greens)","Swantje_Michaelsen"
"Page image","","Swantje_Michaelsen"
"Page views in the past 30 days","24","Swantje_Michaelsen"
"Display title","Karoline Otte","Karoline_Otte"
"Default sort key","Otte, Karoline","Karoline_Otte"
"Page length (in bytes)","2,800","Karoline_Otte"
"Namespace ID","0","Karoline_Otte"
"Page ID","69853836","Karoline_Otte"
"Page content language","en - English","Karoline_Otte"
"Page content model","wikitext","Karoline_Otte"
"Indexing by robots","Allowed","Karoline_Otte"
"Number of page watchers","Fewer than 30 watchers","Karoline_Otte"
"Number of redirects to this page","0","Karoline_Otte"
"Counted as a content page","Yes","Karoline_Otte"
"Wikidata item ID","Q107305149","Karoline_Otte"
"Local description","German politician (born 1996)","Karoline_Otte"
"Central description","German politician (Greens)","Karoline_Otte"
"Page image","","Karoline_Otte"
"Page views in the past 30 days","42","Karoline_Otte"
"Display title","Julian Pahlke","Julian_Pahlke"
"Default sort key","Pahlke, Julian","Julian_Pahlke"
"Page length (in bytes)","3,200","Julian_Pahlke"
"Namespace ID","0","Julian_Pahlke"
"Page ID","69935258","Julian_Pahlke"
"Page content language","en - English","Julian_Pahlke"
"Page content model","wikitext","Julian_Pahlke"
"Indexing by robots","Allowed","Julian_Pahlke"
"Number of page watchers","Fewer than 30 watchers","Julian_Pahlke"
"Number of redirects to this page","0","Julian_Pahlke"
"Counted as a content page","Yes","Julian_Pahlke"
"Wikidata item ID","Q107305353","Julian_Pahlke"
"Local description","German politician (born 1991)","Julian_Pahlke"
"Central description","German politician (Greens)","Julian_Pahlke"
"Page image","","Julian_Pahlke"
"Page views in the past 30 days","70","Julian_Pahlke"
"Display title","Bettina Lugk","Bettina_Lugk"
"Default sort key","Lugk, Bettina","Bettina_Lugk"
"Page length (in bytes)","2,515","Bettina_Lugk"
"Namespace ID","0","Bettina_Lugk"
"Page ID","70976744","Bettina_Lugk"
"Page content language","en - English","Bettina_Lugk"
"Page content model","wikitext","Bettina_Lugk"
"Indexing by robots","Allowed","Bettina_Lugk"
"Number of page watchers","Fewer than 30 watchers","Bettina_Lugk"
"Number of redirects to this page","0","Bettina_Lugk"
"Counted as a content page","Yes","Bettina_Lugk"
"Wikidata item ID","Q108708650","Bettina_Lugk"
"Local description","German politician","Bettina_Lugk"
"Central description","German politician","Bettina_Lugk"
"Page image","","Bettina_Lugk"
"Page views in the past 30 days","26","Bettina_Lugk"
"Display title","Armand Zorn","Armand_Zorn"
"Default sort key","Zorn, Armand","Armand_Zorn"
"Page length (in bytes)","4,877","Armand_Zorn"
"Namespace ID","0","Armand_Zorn"
"Page ID","70634961","Armand_Zorn"
"Page content language","en - English","Armand_Zorn"
"Page content model","wikitext","Armand_Zorn"
"Indexing by robots","Allowed","Armand_Zorn"
"Number of page watchers","Fewer than 30 watchers","Armand_Zorn"
"Number of redirects to this page","0","Armand_Zorn"
"Counted as a content page","Yes","Armand_Zorn"
"Wikidata item ID","Q108708654","Armand_Zorn"
"Local description","German politician (born 1988)","Armand_Zorn"
"Central description","German politician","Armand_Zorn"
"Page image","","Armand_Zorn"
"Page views in the past 30 days","287","Armand_Zorn"
"Display title","Matthias Helferich","Matthias_Helferich"
"Default sort key","Helferich, Matthias","Matthias_Helferich"
"Page length (in bytes)","2,899","Matthias_Helferich"
"Namespace ID","0","Matthias_Helferich"
"Page ID","71002243","Matthias_Helferich"
"Page content language","en - English","Matthias_Helferich"
"Page content model","wikitext","Matthias_Helferich"
"Indexing by robots","Allowed","Matthias_Helferich"
"Number of page watchers","Fewer than 30 watchers","Matthias_Helferich"
"Number of redirects to this page","0","Matthias_Helferich"
"Counted as a content page","Yes","Matthias_Helferich"
"Wikidata item ID","Q108714131","Matthias_Helferich"
"Local description","German politician","Matthias_Helferich"
"Central description","German politician","Matthias_Helferich"
"Page views in the past 30 days","2,114","Matthias_Helferich"
"Display title","Holger Becker","Holger_Becker"
"Default sort key","Becker, Holger","Holger_Becker"
"Page length (in bytes)","3,792","Holger_Becker"
"Namespace ID","0","Holger_Becker"
"Page ID","69156042","Holger_Becker"
"Page content language","en - English","Holger_Becker"
"Page content model","wikitext","Holger_Becker"
"Indexing by robots","Allowed","Holger_Becker"
"Number of page watchers","Fewer than 30 watchers","Holger_Becker"
"Number of redirects to this page","0","Holger_Becker"
"Counted as a content page","Yes","Holger_Becker"
"Wikidata item ID","Q108708895","Holger_Becker"
"Local description","German politician","Holger_Becker"
"Central description","German politician","Holger_Becker"
"Page image","","Holger_Becker"
"Page views in the past 30 days","52","Holger_Becker"
"Display title","Jakob Blankenburg","Jakob_Blankenburg"
"Default sort key","Blankenburg, Jakob","Jakob_Blankenburg"
